id,population,pop_density,pct_immigrants,bachelor_above,median_earnings,employment,employ_rate_15plus,employ_rate_25_54,pop_density_cuberoot,population_cuberoot
4606,9814,2.5,5.3,9.3,26774,2750,61.8,85,1.357208808,21.40993512
4607,59168,10.3,6.5,17.7,35646,18935,66.5,85.7,2.175767114,38.96687962
4608,14052,2.4,4.1,8.8,24979,3340,61.7,76.8,1.3388659,24.13122563
4609,23086,7.7,3.7,12.1,34995,6335,64,82.8,1.974680822,28.47407101
4610,9902,5.2,4.4,16.4,45717,3125,75.6,88.9,1.732478211,21.47373754
4611,636177,1114.2,18.6,24.7,38307,206785,64.5,83.1,10.3670307,86.00545305
4612,19753,10.6,6.4,14,42272,6800,67.5,85.8,2.196689235,27.03196945
4613,44829,26.5,7.9,17,44038,15075,67.1,85.6,2.981365979,35.52382187
4614,18118,6.4,4.1,12.1,37486,5965,69.4,87.5,1.856635533,26.26455731
4615,21417,2.3,5.5,12.5,27154,6175,64.6,87.3,1.320006122,27.7706607
4616,9945,2.1,3.3,7.8,23337,2550,57.4,78.6,1.280579165,21.5047763
4617,22358,1.6,2.9,11.5,27992,5845,55.4,79.3,1.169607095,28.17156566
4618,23861,2.1,7.1,9.5,29992,5670,55.8,78.4,1.280579165,28.78919669
4619,16321,0.3,0.9,6.6,24901,1740,35.6,48.8,0.66943295,25.36582089
4620,10405,1.1,3.7,9.3,30413,2755,58.9,83.9,1.032280115,21.83135515
4621,21606,0.5,3.8,10.7,44493,5805,59.5,74.7,0.793700526,27.85211142
4622,38421,0.4,2.1,9.4,39750,7330,46.9,59.8,0.7368063,33.74345552
4623,8252,0,2.4,8.5,39609,1360,47.1,58.9,0,20.2078328
4701,29168,1.9,2.5,8,35962,9225,70,88,1.23856233,30.78238156
4702,20363,1.2,3.4,10.7,31398,6465,67.8,88.7,1.062658569,27.30741479
4703,13133,0.7,2.9,11.1,24394,4000,67.5,88.4,0.887904002,23.59326151
4704,11086,0.5,3.1,8.6,24421,3345,73,90.9,0.793700526,22.29760878
4705,30529,2.1,2.8,10,32001,8670,61.6,84.8,1.280579165,31.25389818
4706,220688,12.6,7.1,22.5,40367,73835,67,85.2,2.326966771,60.43097106
4707,45532,2.4,4.4,12.5,34904,13100,63.7,84.9,1.3388659,35.70855222
4708,29199,1.3,3.6,13.3,32902,8960,69,88.8,1.091392883,30.79328296
4709,34736,2.3,3.4,10.2,29976,9775,59.7,83.1,1.320006122,32.62821149
4710,17680,1.4,2.6,7.6,25538,4690,60.1,82.4,1.118688942,26.05118123
4711,244273,14.6,7.5,24.1,38872,76255,66.8,83.6,2.444092389,62.51129396
4712,22452,1.6,3.7,11.4,31659,6350,68.2,85.3,1.169607095,28.21099114
4713,22342,1.3,2.3,8.5,31962,6615,68.4,86.2,1.091392883,28.16484394
4714,36515,1.1,2.4,9.8,29560,9890,60.4,82.5,1.032280115,33.17598059
4715,79018,4,3.2,14.2,33603,20960,60.8,80.2,1.587401052,42.91166289
4716,37118,1.7,3.1,10.8,29519,9380,58,75.5,1.193483192,33.35760455
4717,40406,1.8,2.1,8.8,33788,10775,65,80,1.216440399,34.31483802
4718,33919,0.1,0.7,8.3,35324,4595,40.3,54.6,0.464158883,32.37037123
4801,74550,3.6,8,11.4,39889,22880,69,85.6,1.532618865,42.08712075
4802,142429,8.1,12.1,16.2,38258,42130,68.3,83.9,2.00829885,52.22352008
4803,37846,2.7,7,13.1,34741,9065,61.8,78.5,1.39247665,33.57427642
4804,10600,0.5,3.1,7.9,33658,3450,75.5,90.3,0.793700526,21.96689235
4805,51104,3,6,10.9,35858,14725,70.2,84.8,1.44224957,37.1094882
4806,1160936,91.8,22.6,29.7,46031,397985,72.4,85.3,4.511083789,105.1000105
4807,39909,2.1,4,8.2,37002,11460,71.5,86.1,1.280579165,34.17356461
4808,175337,17.7,7.4,12.3,40675,53935,72.1,84.6,2.606100075,55.97032867
4809,20351,1.1,5.6,8.1,39958,5865,71,82.8,1.032280115,27.30204961
4810,86796,4.2,5.3,12.2,37474,25785,68.5,84.8,1.613428646,44.27581564
4811,1076103,68.3,18,22.4,44334,351965,69.5,83.8,4.08764873,102.4750048
4812,59990,2,4,11.1,41209,16900,68.2,83,1.25992105,39.14650136
4813,66972,2.7,5.7,8.7,38472,19750,67.5,83.3,1.39247665,40.60982234
4814,27881,1,6.3,8,50154,8505,72.4,84.6,1,30.32281029
4815,34150,1.2,12.4,25.3,35872,11280,74.8,87.8,1.062658569,32.44368947
4816,53080,0.5,10.9,15.2,74512,19675,78.1,83.3,0.793700526,37.58174759
4817,59282,0.3,4.2,7.4,40843,14790,65.1,75.6,0.66943295,38.99188961
4818,14322,0.4,6,7.7,44376,4340,70.3,81.4,0.7368063,24.28480142
4819,98712,4.8,5.4,11.5,44659,33395,75.7,85.4,1.686865331,46.21574771
5901,55485,2,9.5,12.2,43327,15540,63.7,83.1,1.25992105,38.14098139
5903,55883,2.5,11.7,16.6,40117,11705,55.9,78.1,1.357208808,38.23196068
5905,30742,3.8,11.3,13.9,43597,6990,56,81.1,1.560490751,31.32641566
5907,79475,7.6,16.8,12.9,36094,17700,51.8,80.3,1.966095145,42.99423034
5909,257031,19.2,19.9,13.6,39779,68000,62.1,81.1,2.6777318,63.58116803
5915,2116581,735.6,39.6,30.7,43215,596500,63,80,9.027078938,128.3940696
5917,345164,147.4,19.3,29,42616,100160,62.6,83.9,5.28241472,70.14690238
5919,76929,22.1,13.3,14.6,42277,18345,56.1,79.3,2.806278428,42.53012858
5921,138631,68.1,16.7,17.4,38299,31855,53.8,78.8,4.083654933,51.75513574
5923,30664,4.6,10.8,10,39830,6635,55.6,76.2,1.663103499,31.29989895
5925,101595,5.1,12.5,15,40374,23080,56.9,78.6,1.721300621,46.66136561
